,tconst,averageratings,numvotes,index,id,imdbid,rating,title,year,bechdal,imdb
3101,tt0165929,6.1,62414,3116,4377,165929,0,Romeo Must Die,2000,False,tt0165929
5439,tt1408101,7.7,440509,6639,4127,1408101,1,Star Trek Into Darkness,2013,False,tt1408101
4881,tt0948530,7.2,3598,4723,6681,948530,3,Aanrijding in Moscou,2008,True,tt0948530
4294,tt0445934,6.3,144793,4497,3777,445934,3,Blades of Glory,2007,True,tt0445934
465,tt0038924,7.0,1310,485,1280,38924,3,"Seventh Veil, The",1945,True,tt0038924
2139,tt0102370,6.2,8142,2177,5260,102370,3,Madonna: Truth or Dare,1991,True,tt0102370
3042,tt0182508,7.0,2835,3140,2393,182508,1,Urbania,2000,False,tt0182508
5915,tt1531663,6.4,45243,5379,2305,1531663,1,Everything Must Go,2010,False,tt1531663
354,tt0029811,7.0,7599,301,7317,29811,3,"Girl Was Young, The",1937,True,tt0029811
3626,tt0313254,6.5,228,1920,3290,313254,3,Barbie and the Rockers: Out of This World,1987,True,tt0313254
402,tt0036341,6.9,4812,452,8090,36341,3,"Seventh Victim, The",1943,True,tt0036341
1556,tt0083511,6.9,61640,1624,5355,83511,2,48 Hrs.,1982,False,tt0083511
823,tt0054389,7.6,15144,857,8367,54389,2,Shoot the Piano Player,1960,False,tt0054389
3675,tt0325710,7.7,362938,3597,1404,325710,0,"Last Samurai, The",2003,False,tt0325710
5283,tt1194173,6.7,263928,6018,3469,1194173,3,"Bourne Legacy, The",2012,True,tt1194173
2578,tt0116209,7.4,162807,2682,2449,116209,3,"English Patient, The",1996,True,tt0116209
3966,tt0382992,5.0,49160,3937,4233,382992,1,Stealth,2005,False,tt0382992
4408,tt0464141,7.5,135397,4504,1285,464141,3,"Orphanage, The",2007,True,tt0464141
1574,tt0083929,7.2,83202,1617,1934,83929,2,Fast Times at Ridgemont High,1982,False,tt0083929
7031,tt2511190,2.5,927,6605,3942,2511190,3,A Talking Cat!?!,2013,True,tt2511190
4478,tt0477348,8.1,746570,4461,686,477348,3,No Country for Old Men,2007,True,tt0477348
2133,tt0102250,6.7,27479,2206,4666,102250,3,L.A. Story,1991,True,tt0102250
6461,tt1932767,7.5,24978,6098,4173,1932767,3,What Maisie Knew,2012,True,tt1932767
1966,tt0096764,7.2,46499,2025,5595,96764,1,"Adventures of Baron Munchausen, The",1988,False,tt0096764
468,tt0038991,7.4,17743,508,7671,38991,3,"Stranger, The",1946,True,tt0038991
2601,tt0116684,6.8,8368,2639,111,116684,3,Jane Eyre,1996,True,tt0116684
870,tt0056194,7.7,6876,917,6516,56194,3,"Loneliness of the Long Distance Runner, The",1962,True,tt0056194
6031,tt1621444,7.9,4824,5523,3224,1621444,3,Bill Cunningham New York,2010,True,tt1621444
3863,tt0366627,7.1,102393,4112,1872,366627,2,"Jacket, The",2005,False,tt0366627
5130,tt1099212,5.2,386205,4807,501,1099212,3,Twilight,2008,True,tt1099212
4253,tt0369702,8.0,71865,3781,6923,369702,3,"Sea Inside, The",2004,True,tt0369702
4242,tt0435705,6.2,137943,4404,11,435705,2,Next,2007,False,tt0435705
398,tt0000499,7.6,2736,38,6135,499,0,Le voyage a travers l&#39;impossible,1904,False,tt0000499
282,tt0019290,6.6,169,146,1979,19290,1,"Power of the Press, The",1928,False,tt0019290
6877,tt2345759,5.5,146419,7693,7681,2345759,2,"Mummy, The",2017,False,tt2345759
305,tt0023293,7.2,7362,212,4775,23293,3,"Old Dark House, The",1932,True,tt0023293
6575,tt2043900,7.5,413,5732,4889,2043900,3,Last Call at the Oasis,2011,True,tt2043900
1957,tt0096438,7.7,165065,1975,136,96438,1,Who Framed Roger Rabbit,1988,False,tt0096438
3960,tt0382189,6.8,18182,3744,2041,382189,3,My Summer of Love,2004,True,tt0382189
1612,tt0085482,7.7,4352,1689,2599,85482,3,El Norte,1983,True,tt0085482
6442,tt1921149,7.2,18301,6955,7777,1921149,1,Trash,2014,False,tt1921149
3513,tt0286112,7.3,66949,3380,3555,286112,0,Shaolin Soccer,2001,False,tt0286112
5846,tt1578261,5.2,3576,5388,3816,1578261,3,Break Ke Baad,2010,True,tt1578261
5357,tt1270296,5.8,2343,5386,3804,1270296,3,"Killing Jar, The",2010,True,tt1270296
5128,tt1095217,6.6,70095,4997,2438,1095217,3,"Bad Lieutenant: Port of Call - New Orleans, The",2009,True,tt1095217
1803,tt0091225,4.6,38832,1878,4632,91225,3,Howard The Duck,1986,True,tt0091225
7440,tt3614530,4.2,6483,7348,7029,3614530,3,Jem and the Holograms,2015,True,tt3614530
7212,tt2911674,5.2,3391,7067,6818,2911674,3,Tiger House,2015,True,tt2911674
6671,tt2147550,6.7,721,6074,4068,2147550,3,Das Leben ist nichts fur Feiglinge,2012,True,tt2147550
2972,tt0144117,7.8,214586,3092,826,144117,0,"Boondock Saints, The",1999,False,tt0144117
